iter	Passed	Remaining
839	117002	22286
840	117136	22145
841	117263	22004
842	117390	21862
843	117508	21719
844	117625	21576
845	117743	21433
846	117863	21290
847	117989	21148
848	118112	21007
849	118240	20865
850	118357	20722
851	118479	20581
852	118612	20440
853	118743	20300
854	118883	20161
855	119038	20025
856	119180	19886
857	119330	19749
858	119483	19612
859	119608	19471
860	119863	19350
861	119984	19208
862	120114	19068
863	120227	18924
864	120355	18783
865	120480	18642
866	120605	18501
867	120721	18358
868	120839	18216
869	120959	18074
870	121088	17933
871	121223	17794
872	121368	17656
873	121498	17515
874	121639	17377
875	121769	17236
876	121922	17099
877	122040	16957
878	122167	16817
879	122299	16677
880	122427	16536
881	122558	16396
882	122689	16256
883	122835	16118
884	122982	15980
885	123094	15838
886	123225	15698
887	123346	15557
888	123478	15417
889	123637	15281
890	123788	15143
891	123914	15003
892	124056	14864
893	124194	14725
894	124331	14586
895	124458	14446
896	124588	14306
897	124719	14166
898	124847	14026
899	124973	13885
900	125097	13745
901	125228	13605
902	125355	13465
903	125485	13325
904	125617	13186
905	125752	13047
906	125904	12909
907	126041	12770
908	126191	12633
909	126322	12493
910	126466	12355
911	126606	12216
912	126740	12077
913	126869	11937
914	127004	11798
915	127125	11657
916	127244	11517
917	127367	11377
918	127486	11236
919	127607	11096
920	127731	10956
921	127856	10816
922	127978	10676
923	128094	10535
924	128220	10396
925	128359	10257
926	128503	10119
927	128627	9979
928	128756	9840
929	128902	9702
930	129048	9564
931	129187	9425
932	129316	9286
933	129446	9147
934	129565	9007
935	129690	8867
936	129823	8728
937	129959	8590
938	130088	8450
939	130213	8311
940	130335	8171
941	130460	8032
942	130582	7893
943	130720	7754
944	130868	7616
945	131016	7478
946	131138	7339
947	131273	7200
948	131413	7062
949	131554	6923
950	131681	6784
951	131815	6646
952	131949	6507
953	132083	6368
954	132219	6230
955	132348	6091
956	132477	5952
957	132597	5813
958	132719	5674
959	132857	5535
960	133035	5398
961	133234	5262
962	133403	5125
963	133554	4987
964	133703	4849
965	133838	4710
966	133977	4572
967	134098	4433
968	134215	4293
969	134345	4155
970	134471	4016
971	134596	3877
972	134720	3738
973	134846	3599
974	134968	3460
975	135094	3321
976	135219	3183
977	135345	3044
978	135483	2906
979	135638	2768
980	135783	2629
981	135912	2491
982	136031	2352
983	136167	2214
984	136315	2075
985	136453	1937
986	136579	1798
987	136714	1660
988	136846	1522
989	136963	1383
990	137083	1244
991	137209	1106
992	137333	968
993	137464	829
994	137584	691
995	137712	553
996	137842	414
997	137990	276
998	138140	138
999	138273	0
